hjd,camera,filter,mag,mag err,flux (mJy),flux err
2457390.77873,bh,V,9.743,0.02,486.308,8.948
2457224.4501,bf,V,9.962,0.02,413.593,7.61
2457129.71751,bf,V,9.89,0.02,442.188,8.136
2456970.81873,bf,V,9.714,0.02,519.816,9.565
2457689.85565,bh,V,9.665,0.02,522.147,9.608
2457438.80804,bh,V,9.701,0.02,505.421,9.3
2457709.80262,bh,V,9.753,0.02,481.439,8.858
2457704.81285,bh,V,9.796,0.02,462.997,8.519
2457461.71387,bh,V,9.683,0.02,513.841,9.455
2457466.49978,bh,V,9.952,0.02,401.114,7.38
2457569.52028,bh,V,9.671,0.02,519.37,9.556
2457545.5971,bh,V,10.108,0.02,347.351,6.391
2457431.79705,bh,V,9.735,0.02,489.88,9.014
2457406.67951,bh,V,9.737,0.02,488.6,8.99
2457404.65756,bh,V,9.726,0.02,493.89,9.088
2457403.84652,bh,V,9.686,0.02,512.119,9.423
2457331.87058,bh,V,9.982,0.02,390.007,7.176
2457161.53655,bf,V,9.713,0.02,520.511,9.577
2457720.77667,bh,V,9.748,0.02,483.881,8.903
2457072.68578,bf,V,9.71,0.02,521.766,9.6
2457026.7515,bf,V,9.719,0.02,517.733,9.526
2456784.55736,bf,V,9.671,0.02,540.676,9.948
2456793.64302,bf,V,9.701,0.02,525.918,9.677
2457032.73253,bf,V,9.793,0.02,483.227,8.891
2457939.49844,bh,V,9.585,0.02,562.393,10.348
2457929.53478,bh,V,9.626,0.02,541.604,9.966
2457387.76259,bh,V,9.687,0.02,511.927,9.419
2456859.46136,bf,V,9.68,0.02,536.367,9.869
2458075.81708,bh,V,9.654,0.02,527.664,9.709
2458069.85985,bh,V,9.845,0.02,442.322,8.139
2457901.62162,bh,V,9.713,0.02,499.51,9.191
2457827.51324,bh,V,9.704,0.02,503.954,9.273
2457761.66377,bh,V,9.722,0.02,495.632,9.12
2457367.78126,bh,V,9.75,0.02,482.858,8.885
2457078.65494,bf,V,9.76,0.02,498.532,9.173
2458045.86927,bh,V,9.804,0.02,459.646,8.457
2457440.80666,bh,V,9.772,0.02,473.188,8.707
2457427.72409,bh,V,9.788,0.02,466.457,8.583
2458104.78804,bh,V,9.763,0.02,477.282,8.782
2457585.46273,bh,V,9.809,0.02,457.386,8.416
2457348.84244,bh,V,9.641,0.02,533.923,9.824
2457159.5913,bf,V,9.769,0.02,494.243,9.094
2456828.46788,bf,V,9.633,0.02,559.982,10.304
2457846.76455,bh,V,9.656,0.02,526.548,9.688
2457803.79267,bh,V,9.735,0.02,489.84,9.013
2457774.81952,bh,V,9.855,0.02,438.623,8.071
2457562.50153,bh,V,9.628,0.02,540.455,9.944
2457101.73384,bf,V,9.686,0.02,533.434,9.815
2458043.8761,bh,V,9.734,0.02,490.126,9.018
2457546.53381,bh,V,9.681,0.02,514.53,9.467
2457064.70391,bf,V,9.841,0.02,462.381,8.508
2457044.74055,bf,V,9.692,0.02,530.734,9.766
2458244.6223,bh,V,9.678,0.02,516.189,9.498
2457911.56317,bh,V,9.771,0.02,473.524,8.713
2457835.66893,bh,V,9.559,0.02,575.831,10.595
2458160.69619,bh,V,9.767,0.02,475.473,8.749
