solution_id,designation,source_id,ra,dec,parallax,pmra,pmdec,pseudocolour,ruwe,duplicated_source,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,bp_g,g_rp,radial_velocity,rv_template_teff,rv_template_logg,rv_template_fe_h,vbroad,phot_variable_flag,l,b,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,classprob_dsc_combmod_star,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
1.63614806892138E+018,Gaia DR3 5997083008890845184,5.99708300889085E+018,242.12383258341,-39.0531623719372,1.43713109749884,-5.59585290168036,-22.5111538222535,1.2524594,5.1794257,false,16.457092,16.435095,15.376028,1.8793621,1.0590668,-0.021997452,1.0810642,,,,,,NOT_AVAILABLE,339.549519757826,9.42303271291798,0,false,false,false,false,false,false,true,0.9999132,,,,,,,,242.1238028567d-39.05311795676d,242.1238028567,-39.05311795676,0,0,0,0,2000,5.00560504258493E-05
1.63614806892138E+018,Gaia DR3 5997083008890845184,5.99708300889085E+018,242.12383258341,-39.0531623719372,1.43713109749884,-5.59585290168036,-22.5111538222535,1.2524594,5.1794257,false,16.457092,16.435095,15.376028,1.8793621,1.0590668,-0.021997452,1.0810642,,,,,,NOT_AVAILABLE,339.549519757826,9.42303271291798,0,false,false,false,false,false,false,true,0.9999132,,,,,,,,242.1238014394d-39.05311972837d,242.1238014394,-39.05311972837,0,0,0,0,2000,4.90244863844647E-05
1.63614806892138E+018,Gaia DR3 5997082046818384768,5.99708204681838E+018,242.126067244948,-39.1032080198348,6.36324345214187,-9.16596668182604,-23.300959357289,,1.1956841,false,14.850917,16.678114,13.562373,1.5139742,3.1157408,1.8271971,1.2885437,,,,,,VARIABLE,339.516127552098,9.38531922578817,0,true,true,false,true,false,false,true,0.9999062,3531.9895,4.3174,0.387,153.962,1.5396,0.9564,0.6716,242.1260467798d-39.10325052209d,242.1260467798,-39.10325052209,0,0,0,0,2000,4.53723868928321E-05
1.63614806892138E+018,Gaia DR3 5997490206145065088,5.99749020614506E+018,242.127858044326,-38.4742363479144,6.51797266350633,-9.89065667622416,-25.2830285774829,,1.941147,false,10.679561,11.2386875,9.953618,1.2547947,1.2850695,0.55912685,0.7259426,-1.4995686,4500,2.5,-1.5,,VARIABLE,339.953513513009,9.84318183968967,0,false,false,false,true,false,true,true,0.99983215,5369.879,4.0015,0.0353,157.8066,0.8906,0.7092,0.3791,242.1278916667d-38.47424166667d,242.1278916667,-38.47424166667,0,0,0,0,2000,2.6854532628846E-05
1.63614806892138E+018,Gaia DR3 5997082149897384320,5.99708214989738E+018,242.128341408812,-39.0970078686269,6.25743865179796,-8.93093637708077,-24.4112868909203,,1.1528573,false,15.102122,17.053175,13.774306,1.5502459,3.2788687,1.9510527,1.327816,,,,,,VARIABLE,339.521728875863,9.38863832137436,0,true,false,false,true,false,false,true,0.99998546,,,,,,,,242.1283197162d-39.09705255198d,242.1283197162,-39.09705255198,0,0,0,0,2000,4.77496116033656E-05
1.63614806892138E+018,Gaia DR3 5997082390415552768,5.99708239041555E+018,242.214817935909,-39.0550222178019,6.34964074074798,-9.50844001743784,-23.2747990497098,,1.3458295,false,13.738467,14.917312,12.624015,1.4197447,2.2932968,1.1788445,1.1144524,,,,,,VARIABLE,339.600472171425,9.37334730928076,0,true,true,false,true,false,false,true,0.9976672,3430.6775,4.0111,-0.3802,154.1156,0.0954,0.0628,0.0412,242.2147960681d-39.05506478183d,242.2147960681,-39.05506478183,0,0,0,0,2000,4.58264046437926E-05
1.63614806892138E+018,Gaia DR3 5997006897751436544,5.99700689775144E+018,242.227798074701,-39.628752180905,6.31448016954368,-9.67580073910505,-22.6738473501824,,1.2997626,false,13.305508,14.370781,12.237832,1.3972043,2.1329489,1.0652733,1.0676756,,,,,,VARIABLE,339.210338518275,8.94799914753784,0,false,false,false,true,false,true,true,0.99648726,3660.0645,4.0296,-0.2783,157.5675,0.4204,0.2853,0.1702,242.2277763599d-39.6287883125d,242.2277763599,-39.6287883125,0,0,0,0,2000,3.98146209369469E-05
1.63614806892138E+018,Gaia DR3 5997410491550194816,5.9974104915502E+018,242.25764822676,-39.086888686593,6.37920271710565,-9.51809598349713,-24.0346540606364,,1.4553661,false,13.64162,15.261474,12.414273,1.4667449,2.8472004,1.619854,1.2273464,,,,,,VARIABLE,339.602926781368,9.32735491888882,0,true,true,false,true,false,false,true,0.99861324,,,,,,,,242.2576261523d-39.086932516d,242.2576261523,-39.086932516,0,0,0,0,2000,4.70594343819388E-05
1.63614806892138E+018,Gaia DR3 5997410491550194816,5.9974104915502E+018,242.25764822676,-39.086888686593,6.37920271710565,-9.51809598349713,-24.0346540606364,,1.4553661,false,13.64162,15.261474,12.414273,1.4667449,2.8472004,1.619854,1.2273464,,,,,,VARIABLE,339.602926781368,9.32735491888882,0,true,true,false,true,false,false,true,0.99861324,,,,,,,,242.2576242571d-39.08693297357d,242.2576242571,-39.08693297357,0,0,0,0,2000,4.8036269115225E-05
1.63614806892138E+018,Gaia DR3 5997034252420531712,5.99703425242053E+018,242.275826329446,-39.1478496537144,6.41759106070636,-11.2249382626325,-24.055243836655,,1.5170082,false,14.538353,16.294146,13.259882,1.5104004,3.0342636,1.7557926,1.278471,-1.1075773,3500,4.5,0.5,,VARIABLE,339.571037914438,9.27327341132286,0,true,true,false,true,false,true,true,0.99944246,3479.4365,4.1895,0.1496,150.2538,1.364,0.8566,0.5846,242.2758003279d-39.14789434517d,242.2758003279,-39.14789434517,0,0,0,0,2000,4.90300036118639E-05
1.63614806892138E+018,Gaia DR3 5997393311680941696,5.99739331168094E+018,242.434789542894,-39.2251551576081,6.37152838566583,-8.16700660992854,-24.4366003157326,,1.2092328,false,13.737021,15.039243,12.592135,1.4268404,2.4471073,1.3022213,1.144886,1.6670364,3800,3.5,0.5,,VARIABLE,339.608223843954,9.13252633787309,0,false,false,false,true,false,false,true,0.99648726,,,,,,,,242.4347702539d-39.22520024576d,242.4347702539,-39.22520024576,0,0,0,0,2000,4.74996945318101E-05
1.63614806892138E+018,Gaia DR3 5997549820286701440,5.9975498202867E+018,243.182243297459,-38.25095394646,6.25585073636584,-8.49867949328469,-22.4127475277895,,1.1904482,false,13.132708,14.2802725,12.057415,1.3852826,2.2228575,1.1475649,1.0752926,-9.838297,3700,4.5,-0.25,,VARIABLE,340.71706441225,9.43490970001986,0,false,false,false,true,false,false,true,0.99648726,,,,,,,,243.1822253693d-38.25099303157d,243.1822253693,-38.25099303157,0,0,0,0,2000,4.15435534098877E-05
1.63614806892138E+018,Gaia DR3 5997644343928854656,5.99764434392885E+018,243.433677746425,-37.6129541185002,6.30715826908824,-13.4383279918624,-23.3317295523771,,1.1520562,false,15.957749,17.462889,14.717425,1.5005989,2.7454634,1.5051394,1.240324,,,,,,VARIABLE,341.311816591932,9.75502015458523,0,false,false,false,true,false,false,true,0.99861324,3329.83,4.2395,-0.6226,165.0013,1.3868,0.8746,0.5746,243.4336487796d-37.6129949125d,243.4336487796,-37.6129949125,0,0,0,0,2000,4.68046416903563E-05
1.63614806892138E+018,Gaia DR3 5992529686406981248,5.99252968640698E+018,245.2823049899,-42.3983651092842,0.025087916359678,-4.96412238544193,-2.30157278126177,,1.2299222,false,12.415544,13.437078,11.358088,1.397837,2.078991,1.0215349,1.057456,,,,,,VARIABLE,338.935192722769,5.35573121739216,0,true,true,false,true,false,false,true,0.9995907,,,,,,,,245.282125d-42.3985d,245.282125,-42.3985,0,0,0,0,2000,0.000189374372504
1.63614806892138E+018,Gaia DR3 6246188565119443072,6.24618856511944E+018,245.628244746458,-17.878691187984,-0.094468150781768,-0.379608024050895,-7.59088217180158,,0.9881237,false,18.13033,18.42169,17.502104,1.3052926,0.9195862,0.29136086,0.6282253,,,,,,VARIABLE,357.668507555084,21.8686830864911,0,false,false,false,true,false,true,true,0.9999817,5411.984,4.7481,-2.9972,2226.0107,0.0129,0.0107,0.0059,245.62825d-17.87841666667d,245.62825,-17.87841666667,0,0,0,0,2000,0.00027456684124
1.63614806892138E+018,Gaia DR3 6246188565119443072,6.24618856511944E+018,245.628244746458,-17.878691187984,-0.094468150781768,-0.379608024050895,-7.59088217180158,,0.9881237,false,18.13033,18.42169,17.502104,1.3052926,0.9195862,0.29136086,0.6282253,,,,,,VARIABLE,357.668507555084,21.8686830864911,0,false,false,false,true,false,true,true,0.9999817,5411.984,4.7481,-2.9972,2226.0107,0.0129,0.0107,0.0059,245.62825d-17.87841666667d,245.62825,-17.87841666667,0,0,0,0,2000,0.00027456684124
1.63614806892138E+018,Gaia DR3 6049153921054413440,6.04915392105441E+018,246.917815660939,-24.3679373745729,7.57915844709856,-8.56503944474534,-27.7701333353521,,1.4433901,false,10.986607,11.80578,10.002565,1.3829408,1.803215,0.8191738,0.9840412,,,,,,VARIABLE,353.290386104044,16.7211976311009,0,false,false,false,true,false,true,true,0.999947,5693.3325,3.8681,-0.7499,131.0528,2.3735,1.8383,1.0136,246.917847567d-24.36794240036d,246.917847567,-24.36794240036,0,0,0,0,2000,2.94950361869263E-05
