wavelength,ch1_mean,ch1_std,photon_rate,photon_rate_std,sophia_region,sophia_region_std,qe
335,-1.86460501e-13,5.2363613280859e-14,2698705.2866668,757876.114416478,20883.062184,741.7699744669233,0.0077381781134734035
340,-1.65018466666667e-13,5.16083936811552e-14,2385041.96137248,745905.515757945,24108.976564,972.7332801096096,0.010108407715445985
345,-1.415880835e-13,5.57151459080729e-14,2040287.4657207,802856.504848737,21499.190136,815.6924253163353,0.010537333830262856
350,-1.50837935e-13,5.9423941994011e-14,2160899.0343784,851305.335582963,22470.044696,907.9304104621524,0.010398470422966193
355,-1.61353521666667e-13,4.81237576879292e-14,2289408.23828072,682816.998164911,18899.156456,751.6241609469947,0.008255039944380005
360,-2.12749591e-13,6.072933901762932e-14,2979536.36770736,850508.21174014,16461.922572000003,643.7783718494258,0.005524994677164094
365,-2.97455465333333e-13,5.89413193823285e-14,4100639.009219,812548.773454752,20626.378164,832.7988664345195,0.005030039980995172
370,-4.1104833e-13,5.2135713772411e-14,5566271.21959399,706003.411045026,22731.319992,928.32404121466,0.004083760761060804
375,-5.5542033e-13,5.35737879077393e-14,7377078.98801989,711565.716513865,23512.297216,985.8292988448804,0.00318720963326855
380,-6.44448993333333e-13,4.6385923584991e-14,8387441.89666363,603708.350725835,26268.941552,1156.521277169799,0.003131937231356476
380,-3.4622572e-13,5.23527152906284e-14,4506094.57020053,681365.573032399,64924.25273200001,157.42802524327496,0.014408098125892364
385,-5.42392136666667e-13,6.065594238424072e-14,6914166.88516849,773214.211399128,64921.226484000006,196.0262364391756,0.009389594952251135
390,-4.97187343333333e-13,4.4493737306147404e-14,6207872.85107666,555548.059638732,64924.585580000006,112.81571298733928,0.010458427087265462
395,-6.214394266666669e-13,5.4760043261085504e-14,7603559.35351756,670010.979783215,64924.491828000006,131.43770126267438,0.008538697313905313
400,-6.4293248e-13,4.97401849945521e-14,7715288.86676565,596889.887285414,12979.4248941916,12805.7097691332,0.001682299278527564
405,-6.80880566666667e-13,6.18361921656313e-14,8023437.75621885,728672.3446249,10761.1294142693,10412.014163355,0.0013412118023759213
410,-6.7067199e-13,6.05561863682941e-14,7771942.1650559,701742.707624823,11575.4727506238,10977.74596106,0.0014893925488366707
415,-6.91000303333334e-13,5.77014629768979e-14,7885402.60992485,658464.641129144,11459.9581819947,10877.2682775817,0.0014533130074513615
420,-7.49715456666667e-13,3.5384154213627704e-14,8435694.84480766,398137.61959091,10868.9642242858,10266.647155592,0.0012884491940786439
425,-8.2943527e-13,6.51041908999626e-14,9212909.92604529,723141.477416812,10465.3232289205,9867.57788351712,0.0011359411209844335
430,-1.02619555e-12,6.07312498653137e-14,11264361.2622015,666635.845758561,9607.13159701123,9128.2649425708,0.0008528785053484355
435,-8.0455016e-13,6.530506258657442e-14,8736291.50146429,709121.806995457,9362.59559873809,8914.74611198277,0.0010716899266890103
440,-8.5711474e-13,5.99706386099265e-14,9215337.87853353,644779.131416992,10099.0637071805,9634.064826122,0.001095897279111767
445,-1.17783523333333e-12,6.61730271287244e-14,12549406.8382001,705049.582192789,8143.21127684964,7666.07609465523,0.000648892125487708
450,-1.15496046666667e-12,6.40923736174247e-14,12204199.9309294,677249.277572565,8910.33404220418,8417.81862927786,0.0007301039062480863
455,-9.88672943333333e-13,4.88118778733393e-14,10368272.9085133,511893.113269079,9025.81038312054,8508.957274906,0.0008705220688885923
460,-1.07230708666667e-12,5.9293453595529e-14,11167733.6556783,617522.261592616,8644.3752828686,8179.37602875613,0.000774049198287722
465,-1.21339676666667e-12,6.12253375875726e-14,12557273.303704,633612.449216204,8920.26973510263,8486.30880582884,0.0007103667746461672
470,-9.0962861e-13,6.76415709397821e-14,9359082.25391771,695957.690039707,8657.65634113556,8196.17812240149,0.0009250539856631206
475,-1.00169602333333e-12,6.20382375079955e-14,10251526.8323825,634909.834552968,8858.77580170349,8400.61125626253,0.0008641420879590744
480,-1.06605277333333e-12,6.70652572987829e-14,10856745.568975,682996.61444909,8641.84800636645,8231.66217652983,0.0007959888118831856
485,-1.21884183333333e-12,6.48518843540589e-14,12356653.2117574,657470.250180478,8532.72147736172,8085.34386533873,0.00069053661465896
490,-1.07655572666667e-12,5.96590495752708e-14,10868439.7679012,602291.893357626,8247.66754603473,7864.14401207715,0.0007588639880393277
495,-9.1978445e-13,5.06041469175847e-14,9249538.49734474,508885.538388357,8162.12718730258,7772.12743754784,0.0008824361550195912
500,-9.80894826666667e-13,7.48581969109282e-14,9828073.74879035,750041.553835298,8680.29410814009,8233.40725437962,0.0008832141811317268
500,-1.05572852666667e-12,7.58392321465521e-14,10577869.8558757,759871.034411354,5704.52654359578,5527.28586618825,0.0005392887813255785
505,-9.29254746666667e-13,5.62247240876392e-14,9278650.77069878,561406.418809755,7323.13533947637,7126.52694372951,0.000789245712598887
510,-8.0823977e-13,4.79339828671904e-14,8043977.05593338,477061.229470536,7319.67174937189,7149.13995269592,0.0009099568159475008
515,-7.8867059e-13,6.24468565345091e-14,7824715.01660254,619560.133547262,7122.6506573024,6966.9073136323,0.0009102760473946342
520,-7.825855e-13,5.70868587890126e-14,7740957.70669942,564675.629045093,7464.64210044492,7288.11299710031,0.0009643047260140226
525,-7.3907501e-13,5.76712578664875e-14,7289134.40194993,568783.335967942,7193.4568144244,7059.89920807832,0.0009868739438389372
530,-7.65009776666667e-13,7.12523293011285e-14,7523172.24204861,700701.562684896,7479.33383300206,7330.90688997972,0.0009941728824442529
535,-9.122473266666669e-13,6.39392759907656e-14,8945475.40896381,626987.007056848,7378.87610876127,7251.60834209104,0.0008248724378994178
540,-9.663215e-13,5.759386764125732e-14,9448619.05143618,563148.512209526,7128.98308884065,6990.54772976394,0.0007545000015380081
545,-1.1870384e-12,5.5550409177971e-14,11573263.589399,541599.604457302,7297.45396356494,7171.66022661588,0.0006305441768603057
550,-1.05736183666667e-12,6.1072731969303e-14,10278686.4834599,593692.190158685,6741.93882905973,6636.31735280413,0.0006559144341943517
555,-1.1166946e-12,5.32929528353109e-14,10822819.6252256,516506.496791717,7525.48886272704,7368.0664859333,0.000695335330655127
560,-1.1466388e-12,6.72230342330167e-14,11078599.148087,649495.769535898,7550.02728408962,7380.33179574901,0.0006814965667742679
565,-1.37599966666667e-12,6.31240963321896e-14,13251972.7468754,607935.324789551,7511.59024545576,7339.40287014652,0.000566828078274374
570,-3.2599326e-12,6.39192054532386e-14,31291218.5251187,613543.306321501,7949.30251813661,7804.45450347408,0.0002540426002188246
575,-5.49125646666667e-12,4.5325904138607405e-14,52528212.9329163,433578.1361556,7374.32392428301,7271.90762335376,0.00014038786991860445
580,-5.43907703333333e-12,4.50190313397073e-14,51846339.9839685,429130.161290796,6726.34145219216,6670.12620736381,0.00012973609042165801
585,-6.80239246666667e-12,7.13971024975726e-14,64610130.2686472,678140.244888368,6907.07970286871,6775.4758092054,0.00010690397425526395
590,-4.30849623333334e-12,6.59854096644014e-14,40774944.2382972,624475.746036704,6996.66436627829,6857.35662056522,0.00017159224854823436
590,-3.2099978e-12,6.76558389012114e-14,30378924.3883807,640284.430852996,7875.26178560592,8009.92326591042,0.0002592343851587465
595,-4.06101186666667e-12,7.75279383988909e-14,38293190.808669,731047.393010524,8384.17647430858,8571.46227668656,0.00021894692756735563
600,-4.20362323333333e-12,6.205654159215522e-14,39493848.3047929,583033.136872546,8149.94485742154,8391.27831088152,0.0002063598562116439
605,-3.5942841e-12,6.46079819110869e-14,33646710.8919302,604806.41713141,7959.78896059594,8134.91486413271,0.00023656960070070354
610,-3.96069103333333e-12,5.11649381826287e-14,36943579.3169221,477243.97992351,8195.57807140486,8281.2414143986,0.00022184039075095398
615,-4.2765307e-12,6.13315214866556e-13,39748190.3260768,5700454.78462123,8124.0142523876,8255.74709286946,0.00020438702204406627
615,-4.8118381e-12,4.81320156343295e-14,44723601.9180379,447362.746211791,7644.70013030448,7498.06261391013,0.000170932120903733
620,-3.8255748e-12,6.64658354080751e-14,35432891.3305615,615613.82179988,6973.33468101335,6790.10702463998,0.00019680399818229694
625,-3.5787758666666698e-12,4.9125996114571504e-14,33033985.0053291,453458.802529631,6801.56103512317,6606.68802098386,0.0002058958685737107
630,-2.56701823333333e-12,6.29270219453632e-14,23616210.8347131,578919.852677705,6298.90777751616,6133.35044329523,0.00026671966225240055
635,-1.57945583333333e-12,6.08496805141344e-14,14483958.1684499,558004.98407749,6225.03922676386,6066.87175302307,0.0004297885394562746
640,-1.46455523333333e-12,7.5923530849877e-14,13388532.4573786,694070.550517096,6274.02210001015,6055.59258431767,0.00046861163611344514
645,-1.30909696666667e-12,4.96081641415895e-14,11931646.3531953,452149.142378563,6393.80508209113,6084.10191209597,0.0005358694762503471
650,-1.8470428e-12,4.2657705402736616e-14,16786704.6411343,387691.233394406,6421.09728614082,6140.49465266454,0.0003825108872414722
655,-1.40889313333333e-12,4.69558351338314e-14,12769960.2621016,425599.454313583,6179.68830834559,5831.76456118542,0.0004839238479610253
660,-1.1844619e-12,6.01431709480802e-14,10708358.5813167,543736.054937243,6390.52971434451,6160.18985124722,0.0005967795779172283
665,-1.48111813333333e-12,5.2279249807633e-14,13358360.7274894,471512.070358076,6414.36552331819,6106.92027066893,0.00048017609751460275
670,-1.45366966666667e-12,6.56765765669585e-14,13081755.1509066,591031.727152171,6074.30346651351,5783.17508460131,0.0004643339824390877
675,-1.630716e-12,5.16050897489773e-14,14645163.5753882,463455.917950372,6013.85691752143,5736.22388731218,0.00041063774307225655
680,-3.2859644333333297e-12,8.063283485515622e-14,29456190.581399,722812.495022224,5773.31309216,5368.49534229404,0.00019599659624030722
685,-3.68891693333333e-12,5.80090177994958e-14,33013829.5207443,519149.620039797,5731.18321163563,5284.62632189026,0.0001735994670970973
690,-2.9369366666666698e-12,9.375625242700113e-14,26246021.2861245,837855.519608186,5569.12919994112,5164.74367046346,0.00021218946442314114
695,-2.3337427333333298e-12,5.0130657756129904e-14,20829805.8488977,447440.86536319,5811.06172781189,5394.39203906782,0.00027897819931525705
700,-2.8428411e-12,5.5497589831361104e-14,25347925.400778,494839.042170987,5649.91316588471,5230.03925797444,0.0002228945003014447
705,-2.79937966666667e-12,8.58919391822591e-14,24940553.4298625,765238.286138024,5791.76179555822,5193.5719858282,0.0002322226654611229
