,cryo_temp,time
286,218.75,2024-11-13 19:06:46.538573
287,219.08,2024-11-13 19:07:01.681099
288,219.41,2024-11-13 19:07:16.867974
289,219.73,2024-11-13 19:07:32.024588
290,220.06,2024-11-13 19:07:47.189663
291,220.37,2024-11-13 19:08:02.366094
292,220.69,2024-11-13 19:08:17.547725
293,221.01,2024-11-13 19:08:32.777103
294,221.33,2024-11-13 19:08:47.988643
295,221.64,2024-11-13 19:09:03.179544
296,221.95,2024-11-13 19:09:18.385255
297,222.27,2024-11-13 19:09:33.589355
298,222.57,2024-11-13 19:09:48.771252
299,222.87,2024-11-13 19:10:03.955701
300,223.17,2024-11-13 19:10:19.166333
301,223.47,2024-11-13 19:10:34.375089
302,223.76,2024-11-13 19:10:49.589961
303,224.06,2024-11-13 19:11:04.865876
304,224.35,2024-11-13 19:11:20.093085
305,224.64,2024-11-13 19:11:35.275526
306,224.93,2024-11-13 19:11:50.531841
307,225.22,2024-11-13 19:12:05.691695
308,225.5,2024-11-13 19:12:20.876172
309,225.79,2024-11-13 19:12:36.074861
310,226.07,2024-11-13 19:12:51.239048
311,226.35,2024-11-13 19:13:06.468278
312,226.63,2024-11-13 19:13:21.697595
313,226.9,2024-11-13 19:13:36.938049
314,227.18,2024-11-13 19:13:52.217744
315,227.46,2024-11-13 19:14:07.522091
316,227.73,2024-11-13 19:14:22.754583
317,228.01,2024-11-13 19:14:38.028687
318,228.28,2024-11-13 19:14:53.285280
319,228.55,2024-11-13 19:15:08.565579
320,228.83,2024-11-13 19:15:23.931734
321,229.09,2024-11-13 19:15:39.206975
322,229.36,2024-11-13 19:15:54.541649
323,229.63,2024-11-13 19:16:09.793421
324,229.89,2024-11-13 19:16:25.121086
325,230.16,2024-11-13 19:16:40.556035
326,230.42,2024-11-13 19:16:55.831042
327,230.68,2024-11-13 19:17:11.121799
328,230.94,2024-11-13 19:17:26.407443
329,231.2,2024-11-13 19:17:41.671627
330,231.46,2024-11-13 19:17:57.035680
331,231.72,2024-11-13 19:18:12.363775
332,231.98,2024-11-13 19:18:27.600499
333,232.24,2024-11-13 19:18:42.909070
334,232.49,2024-11-13 19:18:58.150986
335,232.75,2024-11-13 19:19:13.531021
336,233.0,2024-11-13 19:19:28.926293
337,233.26,2024-11-13 19:19:44.235687
338,233.52,2024-11-13 19:19:59.551198
339,233.77,2024-11-13 19:20:14.857900
340,234.03,2024-11-13 19:20:30.176319
341,234.28,2024-11-13 19:20:45.489058
342,234.53,2024-11-13 19:21:00.744614
343,234.79,2024-11-13 19:21:16.030638
344,235.04,2024-11-13 19:21:31.307779
345,235.3,2024-11-13 19:21:46.593945
346,235.54,2024-11-13 19:22:01.853825
347,235.79,2024-11-13 19:22:17.135876
348,236.04,2024-11-13 19:22:32.365696
349,236.3,2024-11-13 19:22:47.657542
350,236.55,2024-11-13 19:23:02.942856
351,236.8,2024-11-13 19:23:18.181790
352,237.05,2024-11-13 19:23:33.475647
353,237.3,2024-11-13 19:23:48.726902
354,237.55,2024-11-13 19:24:04.038277
355,237.81,2024-11-13 19:24:19.373668
356,238.06,2024-11-13 19:24:34.768532
357,238.3,2024-11-13 19:24:50.148269
358,238.56,2024-11-13 19:25:05.476618
359,238.8,2024-11-13 19:25:20.740336
360,239.05,2024-11-13 19:25:36.066157
361,239.3,2024-11-13 19:25:51.361693
362,239.54,2024-11-13 19:26:06.641060
363,239.79,2024-11-13 19:26:21.962402
364,240.04,2024-11-13 19:26:37.252192
365,240.29,2024-11-13 19:26:52.569643
366,240.54,2024-11-13 19:27:07.876052
367,240.78,2024-11-13 19:27:23.176468
368,241.03,2024-11-13 19:27:38.511629
369,241.28,2024-11-13 19:27:53.803950
370,241.52,2024-11-13 19:28:09.128183
371,241.76,2024-11-13 19:28:24.459099
372,242.02,2024-11-13 19:28:39.788252
373,242.26,2024-11-13 19:28:55.166520
374,242.5,2024-11-13 19:29:10.519570
375,242.75,2024-11-13 19:29:25.831646
376,242.99,2024-11-13 19:29:41.130322
377,243.23,2024-11-13 19:29:56.434085
378,243.47,2024-11-13 19:30:11.724170
379,243.72,2024-11-13 19:30:27.028014
380,243.95,2024-11-13 19:30:42.387252
381,244.2,2024-11-13 19:30:57.699828
382,244.44,2024-11-13 19:31:13.011995
383,244.68,2024-11-13 19:31:28.297611
384,244.92,2024-11-13 19:31:43.633173
385,245.16,2024-11-13 19:31:58.991062
386,245.4,2024-11-13 19:32:14.270672
387,245.65,2024-11-13 19:32:29.611828
388,245.88,2024-11-13 19:32:45.073173
389,246.13,2024-11-13 19:33:00.439971
390,246.36,2024-11-13 19:33:15.748718
391,246.6,2024-11-13 19:33:31.105023
392,246.84,2024-11-13 19:33:46.434084
393,247.08,2024-11-13 19:34:01.758982
394,247.32,2024-11-13 19:34:17.078321
395,247.55,2024-11-13 19:34:32.440000
396,247.78,2024-11-13 19:34:47.832269
397,248.02,2024-11-13 19:35:03.121252
398,248.26,2024-11-13 19:35:18.502917
399,248.49,2024-11-13 19:35:33.826003
400,248.73,2024-11-13 19:35:49.154461
401,248.96,2024-11-13 19:36:04.535506
402,249.2,2024-11-13 19:36:19.930334
403,249.43,2024-11-13 19:36:35.337683
404,249.67,2024-11-13 19:36:50.735956
405,249.9,2024-11-13 19:37:06.033962
406,250.13,2024-11-13 19:37:21.425951
407,250.36,2024-11-13 19:37:36.752501
408,250.59,2024-11-13 19:37:52.116446
409,250.82,2024-11-13 19:38:07.446791
410,251.06,2024-11-13 19:38:22.807728
411,251.29,2024-11-13 19:38:38.184029
412,251.52,2024-11-13 19:38:53.553522
413,251.75,2024-11-13 19:39:08.920047
414,251.97,2024-11-13 19:39:24.232439
415,252.21,2024-11-13 19:39:39.559463
416,252.43,2024-11-13 19:39:54.900518
417,252.66,2024-11-13 19:40:10.325556
418,252.9,2024-11-13 19:40:25.773699
419,253.12,2024-11-13 19:40:41.216499
420,253.35,2024-11-13 19:40:56.545095
421,253.57,2024-11-13 19:41:11.930526
422,253.8,2024-11-13 19:41:27.247979
423,254.02,2024-11-13 19:41:42.605298
424,254.25,2024-11-13 19:41:58.001148
425,254.48,2024-11-13 19:42:13.375458
426,254.7,2024-11-13 19:42:28.681226
427,254.93,2024-11-13 19:42:44.055554
428,255.15,2024-11-13 19:42:59.390539
429,255.37,2024-11-13 19:43:14.758873
430,255.59,2024-11-13 19:43:30.132434
431,255.81,2024-11-13 19:43:45.466240
432,256.04,2024-11-13 19:44:00.883438
433,256.26,2024-11-13 19:44:16.243795
434,256.49,2024-11-13 19:44:31.642076
435,256.7,2024-11-13 19:44:46.996345
436,256.93,2024-11-13 19:45:02.404606
437,257.15,2024-11-13 19:45:17.760946
438,257.37,2024-11-13 19:45:33.063303
439,257.58,2024-11-13 19:45:48.419001
440,257.8,2024-11-13 19:46:03.803557
441,258.02,2024-11-13 19:46:19.171712
442,258.24,2024-11-13 19:46:34.473532
443,258.46,2024-11-13 19:46:49.867773
444,258.68,2024-11-13 19:47:05.270894
445,258.9,2024-11-13 19:47:20.685620
446,259.11,2024-11-13 19:47:36.099708
447,259.33,2024-11-13 19:47:51.528203
448,259.54,2024-11-13 19:48:06.922194
449,259.76,2024-11-13 19:48:22.288111
450,259.97,2024-11-13 19:48:37.703927
451,260.19,2024-11-13 19:48:53.083605
452,260.4,2024-11-13 19:49:08.422886
453,260.62,2024-11-13 19:49:23.817081
454,260.83,2024-11-13 19:49:39.222294
455,261.04,2024-11-13 19:49:54.599552
456,261.26,2024-11-13 19:50:10.001650
457,261.47,2024-11-13 19:50:25.394345
458,261.69,2024-11-13 19:50:40.794474
459,261.89,2024-11-13 19:50:56.221941
460,262.11,2024-11-13 19:51:11.685969
461,262.32,2024-11-13 19:51:27.110073
462,262.54,2024-11-13 19:51:42.507869
463,262.74,2024-11-13 19:51:57.935005
464,262.96,2024-11-13 19:52:13.357949
465,263.17,2024-11-13 19:52:28.730254
466,263.38,2024-11-13 19:52:44.177919
467,263.58,2024-11-13 19:52:59.600096
468,263.79,2024-11-13 19:53:15.026574
469,264.0,2024-11-13 19:53:30.494905
470,264.21,2024-11-13 19:53:45.978257
471,264.42,2024-11-13 19:54:01.425077
472,264.63,2024-11-13 19:54:16.842344
473,264.84,2024-11-13 19:54:32.302171
474,265.04,2024-11-13 19:54:47.747883
475,265.25,2024-11-13 19:55:03.136256
476,265.45,2024-11-13 19:55:18.503112
477,265.66,2024-11-13 19:55:33.950610
478,265.87,2024-11-13 19:55:49.354701
479,266.07,2024-11-13 19:56:04.730980
480,266.27,2024-11-13 19:56:20.141104
481,266.48,2024-11-13 19:56:35.616826
482,266.68,2024-11-13 19:56:51.108009
483,266.89,2024-11-13 19:57:06.558066
484,267.09,2024-11-13 19:57:22.065826
485,267.29,2024-11-13 19:57:37.463893
486,267.5,2024-11-13 19:57:52.862752
487,267.7,2024-11-13 19:58:08.255935
488,267.9,2024-11-13 19:58:23.753471
489,268.1,2024-11-13 19:58:39.215990
490,268.3,2024-11-13 19:58:54.655352
491,268.5,2024-11-13 19:59:10.092678
492,268.7,2024-11-13 19:59:25.513044
493,268.9,2024-11-13 19:59:40.960310
494,269.1,2024-11-13 19:59:56.440904
495,269.3,2024-11-13 20:00:11.976975
496,269.5,2024-11-13 20:00:27.474506
497,269.7,2024-11-13 20:00:42.926868
498,269.9,2024-11-13 20:00:58.348730
499,270.1,2024-11-13 20:01:13.790838
500,270.3,2024-11-13 20:01:29.202749
501,270.5,2024-11-13 20:01:44.680757
502,270.7,2024-11-13 20:02:00.079803
503,270.9,2024-11-13 20:02:15.478753
504,271.1,2024-11-13 20:02:30.962559
505,271.3,2024-11-13 20:02:46.439559
506,271.5,2024-11-13 20:03:01.982651
507,271.7,2024-11-13 20:03:17.528065
508,271.9,2024-11-13 20:03:32.974111
509,272.09,2024-11-13 20:03:48.439854
510,272.29,2024-11-13 20:04:03.853302
511,272.49,2024-11-13 20:04:19.316430
512,272.69,2024-11-13 20:04:34.763790
513,272.89,2024-11-13 20:04:50.246787
514,273.08,2024-11-13 20:05:05.700711
515,273.28,2024-11-13 20:05:21.161182
516,273.47,2024-11-13 20:05:36.645863
517,273.67,2024-11-13 20:05:52.161216
518,273.87,2024-11-13 20:06:07.679194
519,274.06,2024-11-13 20:06:23.159296
520,274.25,2024-11-13 20:06:38.695312
521,274.45,2024-11-13 20:06:54.177938
522,274.64,2024-11-13 20:07:09.636020
523,274.84,2024-11-13 20:07:25.171887
524,275.03,2024-11-13 20:07:40.681551
525,275.22,2024-11-13 20:07:56.150150
526,275.42,2024-11-13 20:08:11.674709
527,275.61,2024-11-13 20:08:27.204154
528,275.8,2024-11-13 20:08:42.723842
529,275.99,2024-11-13 20:08:58.223448
530,276.18,2024-11-13 20:09:13.698479
531,276.37,2024-11-13 20:09:29.196102
532,276.56,2024-11-13 20:09:44.687747
533,276.75,2024-11-13 20:10:00.200897
534,276.95,2024-11-13 20:10:15.709029
535,277.13,2024-11-13 20:10:31.176234
536,277.32,2024-11-13 20:10:46.684611
537,277.51,2024-11-13 20:11:02.166557
538,277.7,2024-11-13 20:11:17.813566
539,277.89,2024-11-13 20:11:33.292582
540,278.08,2024-11-13 20:11:48.825206
541,278.26,2024-11-13 20:12:04.354141
542,278.45,2024-11-13 20:12:19.877051
543,278.64,2024-11-13 20:12:35.403565
544,278.83,2024-11-13 20:12:50.919743
545,279.01,2024-11-13 20:13:06.511022
546,279.2,2024-11-13 20:13:22.092655
547,279.39,2024-11-13 20:13:37.708716
548,279.57,2024-11-13 20:13:53.251018
549,279.76,2024-11-13 20:14:08.812262
550,279.94,2024-11-13 20:14:24.342129
551,280.13,2024-11-13 20:14:39.887031
552,280.31,2024-11-13 20:14:55.375869
553,280.5,2024-11-13 20:15:10.934474
554,280.68,2024-11-13 20:15:26.424673
555,280.86,2024-11-13 20:15:41.926986
556,281.05,2024-11-13 20:15:57.508812
557,281.23,2024-11-13 20:16:13.132372
558,281.41,2024-11-13 20:16:28.619117
559,281.59,2024-11-13 20:16:44.167896
560,281.78,2024-11-13 20:16:59.773339
561,281.96,2024-11-13 20:17:15.339376
562,282.14,2024-11-13 20:17:30.889087
563,282.32,2024-11-13 20:17:46.508315
564,282.5,2024-11-13 20:18:02.055509
565,282.68,2024-11-13 20:18:17.627414
566,282.86,2024-11-13 20:18:33.258327
567,283.04,2024-11-13 20:18:48.849981
568,283.22,2024-11-13 20:19:04.460831
569,283.4,2024-11-13 20:19:20.027874
570,283.57,2024-11-13 20:19:35.657301
571,283.74,2024-11-13 20:19:51.219622
572,283.91,2024-11-13 20:20:06.789101
573,284.07,2024-11-13 20:20:22.376603
574,284.24,2024-11-13 20:20:37.923292
575,284.38,2024-11-13 20:20:53.495423
576,284.54,2024-11-13 20:21:09.139110
577,284.68,2024-11-13 20:21:24.742808
578,284.82,2024-11-13 20:21:40.303186
579,284.96,2024-11-13 20:21:55.881860
580,285.09,2024-11-13 20:22:11.450122
581,285.21,2024-11-13 20:22:27.073220
582,285.32,2024-11-13 20:22:42.723805
583,285.43,2024-11-13 20:22:58.353198
584,285.54,2024-11-13 20:23:14.028242
585,285.64,2024-11-13 20:23:29.678667
586,285.74,2024-11-13 20:23:45.281457
587,285.83,2024-11-13 20:24:00.866868
588,285.92,2024-11-13 20:24:16.462297
589,286.0,2024-11-13 20:24:32.070364
590,286.09,2024-11-13 20:24:47.668601
591,286.16,2024-11-13 20:25:03.263317
592,286.24,2024-11-13 20:25:18.860705
